trial star/#dMass star/dMass planet/#dMass planet/dMass planet/dEnvelopeMass planet/dOrbPeriod 
rand_0677 2.413023 1.000000 2.248245 -4.546059 -0.566324 -10.464436 
rand_0678 2.635972 0.838436 3.010722 -2.719772 -0.140704 -23.384744 
rand_0679 0.685901 0.230000 0.235746 -5.591336 -0.975863 -52.570432 
rand_0680 2.254568 0.960000 8.961418 -2.851347 -0.160195 -31.828423 
rand_0681 1.244635 0.466189 2.619423 -1.898483 -0.052686 -36.555700 
rand_0682 1.973401 0.900000 0.918401 -5.192765 -0.800559 -11.649657 
rand_0683 2.077543 1.044654 2.431423 -2.855007 -0.160814 -43.984623 
rand_0684 1.921530 0.772501 1.052010 -2.738499 -0.144585 -18.330377 
rand_0685 2.047383 0.713899 0.261261 -1.549118 -0.030771 -28.460956 
rand_0686 2.445903 0.160000 20.233747 -1.820138 -0.047213 -54.898518 
rand_0687 2.337489 1.085437 1.342419 -2.837662 -0.157204 -27.905824 
rand_0688 1.861268 0.820000 1.647714 -1.400925 -0.023466 -21.041477 
rand_0689 2.344196 0.671927 4.547057 -1.362068 -0.021833 -41.812287 
rand_0690 4.964059 0.800000 0.589977 -6.155396 -1.288311 -18.054893 
rand_0691 4.305630 0.950000 8.782806 -3.686612 -0.322515 -47.619869 
rand_0692 2.896333 1.040000 2.727476 -2.138109 -0.074221 -32.798018 
rand_0693 1.974695 1.300000 0.378308 -5.027689 -0.740397 -22.807671 
rand_0694 2.656043 0.940000 3.681807 -2.788440 -0.151404 -35.954688 
rand_0695 2.501955 0.290000 10.345757 -5.412430 -0.902272 -29.514720 
rand_0696 2.285346 1.261127 3.421153 -2.480496 -0.108829 -17.623024 
rand_0697 2.679520 0.719617 5.543641 -0.459767 -0.001143 -29.006468 
rand_0698 1.025704 1.307228 0.845936 -1.914295 -0.054693 -21.136489 
rand_0699 3.140171 0.451991 4.346511 -2.124364 -0.072097 -23.762867 
rand_0700 2.032094 0.730000 4.116098 -4.948128 -0.715033 -41.056078 
rand_0701 2.835690 0.461282 2.121422 -2.265643 -0.086442 -16.843838 
rand_0702 3.430182 1.167097 2.480537 -2.298811 -0.088945 -11.161750 
rand_0703 5.137021 1.193680 12.822781 -1.452606 -0.025689 -40.729782 
rand_0704 4.373275 0.830000 2.136570 -4.589405 -0.585747 -24.327584 
rand_0705 3.664427 0.710000 5.271246 -5.115314 -0.768723 -31.853712 
rand_0706 2.160471 1.331920 0.908184 -3.900451 -0.372486 -32.427054 
rand_0707 2.958691 0.950000 0.928869 -5.303716 -0.849511 -39.641933 
rand_0708 3.526246 0.930000 1.382489 -1.959992 -0.059124 -14.927657 
rand_0709 2.400592 1.325997 0.474980 -3.464509 -0.272719 -48.816857 
rand_0710 5.476702 1.130000 8.223927 -3.700764 -0.319740 -50.450096 
rand_0711 3.243798 0.770000 0.529789 -4.887840 -0.691311 -47.153899 
rand_0712 4.461072 1.297964 4.619889 -1.436984 -0.025471 -20.802002 
rand_0713 2.318295 1.114859 1.810326 -0.182911 -0.000096 -16.942317 
rand_0714 2.052802 1.110000 11.239670 -1.337374 -0.020968 -57.271944 
rand_0715 4.116962 1.290000 3.748870 -5.541425 -0.965960 -15.200334 
rand_0716 1.623411 0.880000 3.048702 -4.602739 -0.582267 -20.364963 
rand_0717 2.850950 1.170602 0.614836 -1.407317 -0.023871 -48.170667 
rand_0718 2.316080 0.630154 0.955849 -0.517482 -0.001607 -40.453641 
rand_0719 3.947711 0.575403 9.610597 -2.662328 -0.133614 -26.392050 
rand_0720 4.384748 1.040000 1.600500 -3.789010 -0.342144 -47.593765 
rand_0721 3.176741 0.460000 1.109641 -4.465401 -0.544227 -49.160754 
rand_0722 8.364555 0.699639 1.796399 -0.938914 -0.008036 -48.281900 
rand_0723 3.295948 0.906331 4.695865 -2.819473 -0.153746 -46.501201 
rand_0724 5.473132 0.840000 5.471089 -6.171350 -1.294375 -16.366040 
rand_0725 2.985365 1.152814 7.865563 -0.359064 -0.000599 -41.505825 
rand_0726 1.513776 1.040000 1.493826 -2.925405 -0.167771 -22.317665 
rand_0727 0.985867 0.680000 5.425701 -2.039217 -0.065237 -18.401053 
rand_0728 1.298558 0.543200 6.228318 -1.731725 -0.041762 -10.569911 
rand_0729 3.817229 0.930000 16.354977 -5.703459 -1.043923 -35.863911 
rand_0730 2.146599 1.060000 0.412674 -3.676765 -0.314837 -51.715056 
rand_0731 3.279030 0.687180 1.876610 -3.992255 -0.403349 -37.758774 
rand_0732 6.297534 0.777446 3.354695 -2.580814 -0.122428 -31.756410 
rand_0733 2.860115 1.050000 0.984860 -3.072638 -0.198808 -44.750331 
rand_0734 2.681171 0.188165 3.108634 -1.388426 -0.023174 -25.844168 
rand_0735 4.090511 0.672250 12.454279 -2.517091 -0.115112 -11.402213 
rand_0736 1.618005 0.920000 2.687896 -5.358561 -0.887179 -45.050581 
rand_0737 4.087208 1.200000 3.181771 -3.076949 -0.194510 -40.807689 
rand_0738 1.422595 0.900256 4.113235 -0.854783 -0.006214 -17.098382 
rand_0739 4.818014 1.240000 17.396783 -0.651970 -0.002950 -12.233128 
rand_0740 4.916972 1.030000 1.548644 -3.029628 -0.188873 -40.903849 
rand_0741 2.704796 0.426199 10.701767 -3.469397 -0.272287 -49.020397 
rand_0742 1.560982 1.240000 17.670880 -0.755416 -0.004396 -37.098730 
rand_0743 2.106414 0.990000 2.361704 -1.980164 -0.060214 -23.371900 
rand_0744 4.122849 1.390000 1.378997 -2.463749 -0.108217 -46.662329 
rand_0745 5.333729 1.333601 9.216915 -4.108796 -0.437284 -21.619362 
rand_0746 1.681790 1.245470 0.705052 -1.597290 -0.033613 -31.033282 
rand_0747 5.854588 1.223117 2.118154 -2.422466 -0.103073 -30.228102 
rand_0748 3.244948 0.810000 1.434691 -2.845864 -0.157499 -48.786188 
rand_0749 1.607539 1.377119 1.801529 -2.395456 -0.100125 -46.776836 
rand_0750 1.189342 1.033042 0.888816 -2.614648 -0.128014 -49.751605 
rand_0751 5.258430 0.970000 2.386120 -1.725702 -0.041908 -11.065223 
rand_0752 2.275039 0.715234 5.405310 -3.568434 -0.292101 -34.742512 
rand_0753 3.278741 1.000000 0.840175 -4.251619 -0.470148 -23.652321 
rand_0754 1.512624 1.215693 2.983341 -3.244678 -0.224481 -16.245395 
rand_0755 3.032514 1.201656 1.854569 -1.238678 -0.016759 -14.901098 
rand_0756 2.491661 1.049078 6.591022 -2.618038 -0.127417 -30.544933 
rand_0757 1.734039 0.970000 1.098953 -4.222151 -0.463610 -13.897221 
rand_0758 4.663249 1.100000 0.825048 -1.450621 -0.026068 -50.923011 
rand_0759 2.273374 1.010000 3.885471 -3.215301 -0.225371 -33.679568 
rand_0760 2.026372 0.240000 0.404500 -5.797881 -1.088252 -11.563153 
rand_0761 4.740859 0.990000 0.359762 -2.020285 -0.063349 -33.407494 
rand_0762 3.299239 1.330000 0.805603 -5.485967 -0.949474 -59.700521 
rand_0763 4.082900 1.280000 0.225741 -4.573524 -0.570661 -43.101261 
rand_0764 4.444351 0.770000 5.573524 -2.890043 -0.168892 -45.273401 
rand_0765 2.029317 0.460000 1.090284 -2.322969 -0.092772 -10.677935 
rand_0766 2.741490 0.250680 2.300716 -0.362750 -0.000603 -21.122744 
rand_0767 3.173789 0.891509 1.166210 -1.990453 -0.061156 -32.297027 
rand_0768 3.081932 1.030000 4.869083 -4.958288 -0.727773 -47.845921 
rand_0769 5.539623 0.504451 7.419974 -2.616808 -0.127259 -25.681603 
rand_0770 3.885138 1.167601 0.803208 -1.312899 -0.019969 -40.037897 
rand_0771 2.958944 1.000000 8.231806 -5.684042 -1.026259 -27.822746 
rand_0772 2.877531 0.580000 1.371529 -9.257412 -3.829173 -12.000562 
rand_0773 2.836518 1.090000 4.880144 -5.424952 -0.920865 -12.586819 
rand_0774 2.988560 1.100000 1.183437 -1.940155 -0.056290 -14.383590 
rand_0775 0.977016 0.900000 5.089301 -4.701416 -0.611352 -41.317013 
rand_0776 2.177151 1.160000 0.440908 -2.118928 -0.071769 -35.673867 
rand_0777 1.476481 1.390822 4.139735 -1.238582 -0.017114 -49.577197 
rand_0778 1.831370 0.410000 0.232384 -1.807847 -0.046402 -23.475143 
rand_0779 1.121641 0.880000 3.727881 -1.416915 -0.024184 -31.558938 
rand_0780 8.319074 0.633565 0.497504 -2.639800 -0.129826 -31.930939 
rand_0781 1.552364 1.278146 1.954917 -1.942693 -0.056363 -20.975162 
rand_0782 5.931667 0.920000 1.455345 -3.978640 -0.394012 -29.283603 
rand_0783 3.529823 0.540000 1.372571 -5.984296 -1.179639 -19.290454 
rand_0784 2.859771 1.120000 1.419415 -6.525209 -1.507433 -11.999081 
rand_0785 4.131015 0.813660 3.913731 -1.886625 -0.051818 -33.064107 
rand_0786 2.782303 1.050000 2.236807 -1.596682 -0.033574 -50.808610 
rand_0787 4.086538 1.010747 9.710357 -2.684702 -0.135534 -17.949164 
rand_0788 5.220263 0.850000 32.017090 -5.249475 -0.851960 -26.151512 
rand_0789 2.525494 0.513990 22.090310 -3.222190 -0.225038 -32.588201 
rand_0790 3.104241 1.070000 2.238005 -0.411963 -0.000871 -29.851612 
rand_0791 1.931888 0.980000 49.714674 -1.102406 -0.012406 -24.703958 
rand_0792 5.326304 1.195777 5.918143 -3.865885 -0.366690 -17.332858 
rand_0793 1.668602 0.710000 0.500793 -1.060349 -0.011022 -30.271277 
rand_0794 2.776389 1.022445 1.740117 -4.246416 -0.470796 -29.352086 
rand_0795 2.351879 0.860000 8.845615 -4.256126 -0.475496 -17.499391 
rand_0796 1.393548 0.970000 0.524732 -2.525606 -0.115163 -58.700009 
rand_0797 3.022979 0.870000 68.190864 -6.722624 -1.635594 -33.203773 
rand_0798 1.666933 1.110000 0.457040 -5.503621 -0.936965 -40.159693 
rand_0799 5.581508 1.162438 10.958524 -2.547883 -0.115720 -21.141394 
rand_0800 3.580956 0.780000 0.376316 -1.435308 -0.025110 -13.389476 
rand_0801 1.554427 1.100000 1.026922 -2.015257 -0.062334 -49.191128 
rand_0802 3.014335 1.030000 0.300864 -1.891490 -0.052326 -33.408076 
rand_0803 2.877454 1.221982 0.380953 -3.306285 -0.240314 -39.604651 
rand_0804 3.195077 1.235454 1.021890 -2.328668 -0.093378 -38.511152 
rand_0805 2.140013 1.060000 0.567282 -2.621680 -0.125697 -27.271310 
rand_0806 2.294773 1.127926 0.532740 -1.888156 -0.051824 -28.755230 
rand_0807 2.232356 0.680000 1.644056 -1.877596 -0.051864 -49.313898 
rand_0808 2.224248 0.960000 2.275303 -5.000181 -0.736758 -14.577033 
rand_0809 5.472689 0.774133 3.867119 -0.312638 -0.000418 -41.500773 
rand_0810 3.335872 0.430000 0.958700 -4.033899 -0.407556 -18.517839 
rand_0811 7.145021 1.150000 1.996394 -4.533122 -0.554485 -57.977171 
rand_0812 3.625238 0.136368 0.532635 -4.006402 -0.400804 -41.205652 
rand_0813 1.608875 0.740000 6.018782 -8.328709 -2.916174 -46.569146 
rand_0814 1.349336 1.090000 7.789001 -7.094157 -1.848963 -35.270817 
rand_0815 2.726221 1.040000 8.982290 -2.871805 -0.163259 -42.772672 
rand_0816 2.391144 1.090000 5.053305 -1.455113 -0.026349 -41.089065 
rand_0817 1.606666 1.050000 4.730269 -2.566840 -0.120725 -31.954887 
rand_0818 4.182339 0.549252 8.839888 -1.726491 -0.041296 -41.834443 
rand_0819 3.608724 0.908654 6.665594 -2.563476 -0.120982 -19.084034 
rand_0820 4.016973 0.940000 4.145960 -2.910314 -0.168790 -57.003601 
rand_0821 1.342604 0.736468 3.638356 -1.637379 -0.035558 -13.563276 
rand_0822 0.977386 0.553334 3.400246 -3.910563 -0.381677 -14.145088 
rand_0823 2.501546 1.110000 1.779814 -4.475662 -0.548382 -19.626722 
rand_0824 3.451711 0.944216 3.595631 -2.324059 -0.092103 -15.955236 
rand_0825 2.003733 0.970000 1.324562 -1.078985 -0.011746 -11.830573 
rand_0826 2.957264 0.990000 0.841813 -4.510393 -0.563716 -28.753678 
rand_0827 2.402226 0.920000 3.571935 -5.569085 -0.983267 -14.822154 
rand_0828 2.395588 0.279215 4.222790 -2.101019 -0.070392 -46.290587 
rand_0829 1.701388 0.920000 2.248272 -2.358301 -0.095675 -39.506000 
rand_0830 5.672714 1.100000 2.062845 -5.539029 -0.970444 -53.586679 
rand_0831 5.998870 1.385286 1.855722 -0.743903 -0.004260 -35.513198 
rand_0832 2.467408 0.483562 1.226880 -2.582289 -0.122474 -23.089947 
rand_0833 1.747697 0.871972 1.279195 -1.811510 -0.047254 -43.201311 
rand_0834 7.917034 0.230000 3.985319 -1.720679 -0.041113 -32.820177 
rand_0835 3.036303 1.107831 2.730595 -0.272404 -0.000283 -30.444013 
rand_0836 1.786099 1.156763 3.141259 -4.277881 -0.485591 -17.393409 
rand_0837 2.622892 1.179992 3.203790 -3.847852 -0.361515 -24.933151 
rand_0838 3.496051 0.820000 18.166775 -4.545390 -0.570574 -56.544193 
rand_0839 1.635043 1.038562 1.266061 -2.639001 -0.132598 -13.520081 
rand_0840 1.713547 0.780000 0.245215 -4.367077 -0.502611 -42.126222 
rand_0841 2.965748 1.100000 2.531950 -3.483852 -0.270607 -59.264448 
rand_0842 3.602671 0.830000 1.609712 -5.273071 -0.841253 -28.904253 
rand_0843 2.668488 1.245435 2.862236 -2.301178 -0.090699 -19.705239 
rand_0844 2.818019 1.080000 2.165652 -5.919052 -1.149664 -48.566631 
rand_0845 6.277669 0.430000 2.285280 -4.463525 -0.532410 -40.096628 
rand_0846 4.500851 0.620000 0.683873 -6.120880 -1.248499 -59.828209 
rand_0847 3.219832 0.520000 18.017520 -3.358331 -0.252404 -27.293406 
rand_0848 2.729619 1.278745 2.388927 -1.238962 -0.016750 -47.391246 
rand_0849 2.737027 1.313574 0.229919 -1.694853 -0.038948 -31.186592 
rand_0850 7.366254 0.990000 3.352161 -0.944864 -0.008126 -16.410081 
rand_0851 2.229407 1.110000 2.227525 -4.537384 -0.567219 -49.796311 
rand_0852 1.752115 0.180000 4.106214 -0.986390 -0.009114 -28.212677 
rand_0853 3.239337 0.330000 19.689733 -3.527287 -0.288393 -14.228894 
rand_0854 9.623860 0.370547 4.216887 -0.792342 -0.005006 -30.856765 
rand_0855 2.328930 1.050000 1.243991 -4.683498 -0.619746 -42.819331 
rand_0856 1.578178 0.683502 1.702287 -1.558527 -0.031738 -27.483889 
rand_0857 2.274423 0.396675 2.260658 -1.653626 -0.036891 -47.346652 
rand_0858 1.241539 0.960000 1.422365 -5.667938 -1.023008 -38.032440 
rand_0859 3.528930 0.830000 17.704164 -3.079548 -0.197601 -47.769777 
rand_0860 6.478480 1.227057 4.466681 -0.668529 -0.003133 -26.673406 
rand_0861 1.507635 1.100000 0.922957 -5.456127 -0.930006 -49.742995 
rand_0862 1.474399 1.301019 1.170540 -1.964584 -0.058272 -41.067795 
rand_0863 1.010294 0.570720 1.492554 -0.968418 -0.008672 -38.774692 
rand_0864 1.552656 0.900000 0.438649 -8.939971 -3.519386 -19.554011 
rand_0865 3.708016 1.140000 6.580895 -3.324878 -0.242220 -25.850573 
rand_0866 3.260488 0.614244 0.367861 -2.668315 -0.131339 -22.163264 
rand_0867 4.540786 0.860009 3.075222 -3.495375 -0.274972 -27.222467 
rand_0868 1.650060 0.964315 0.602945 -2.072444 -0.067972 -28.917864 
rand_0869 5.104018 0.892910 5.132704 -2.549315 -0.117786 -26.595968 
rand_0870 1.085111 1.060000 0.737886 -5.593671 -0.974450 -34.893611 
rand_0871 1.899048 0.616551 12.362568 -0.464777 -0.001191 -42.278837 
rand_0872 1.521145 0.310701 5.327973 -3.293931 -0.233842 -34.528730 
rand_0873 2.257311 0.635995 1.434578 -0.427433 -0.000961 -31.587865 
rand_0874 2.267151 1.010000 0.725913 -2.083536 -0.069265 -24.748862 
rand_0875 3.486932 0.720000 9.108618 -4.139527 -0.442516 -12.597225 
rand_0876 2.829916 0.420000 0.370649 -2.291782 -0.087919 -35.249447 
rand_0877 1.884275 1.040000 0.676896 -4.371994 -0.504384 -53.630529 
rand_0878 1.458497 0.870000 4.276164 -1.183652 -0.015028 -58.811522 
rand_0879 1.560525 1.035261 11.061954 -3.226775 -0.223829 -47.462919 
rand_0880 4.752140 0.600493 1.076634 -1.152756 -0.014055 -45.800769 
rand_0881 1.050456 1.350589 1.003917 -1.506880 -0.029177 -23.126721 
rand_0882 3.004409 1.308481 1.263911 -1.334529 -0.020744 -37.255848 
rand_0883 3.142262 0.588170 3.654046 -0.720957 -0.003960 -25.223197 
rand_0884 2.801681 0.937732 3.246939 -3.325457 -0.245212 -48.459021 
rand_0885 2.741525 0.510766 3.039784 -3.899415 -0.376351 -46.868245 
rand_0886 1.019303 1.010000 12.993505 -1.229731 -0.016637 -19.267425 
rand_0887 4.140128 0.616699 0.320631 -4.011854 -0.405796 -17.747590 
rand_0888 7.845694 0.170000 0.899715 -0.651019 -0.003023 -54.248592 
rand_0889 2.517271 0.646104 5.848994 -2.689514 -0.137184 -19.198234 
rand_0890 1.712341 0.880000 3.494052 -3.475352 -0.274539 -50.023460 
rand_0891 3.074636 0.860000 7.907939 -5.594182 -0.987736 -20.337343 
rand_0892 4.040157 0.890000 4.236956 -7.646758 -2.283183 -13.067157 
rand_0893 2.518300 0.790000 1.838911 -6.615253 -1.559163 -55.284986 
rand_0894 2.238699 0.880000 36.969396 -4.044454 -0.414812 -28.608248 
rand_0895 2.695547 0.750000 0.551876 -3.288634 -0.237473 -53.010350 
rand_0896 2.060623 1.090236 2.750348 -2.644861 -0.132539 -18.850586 
rand_0897 6.123573 0.168232 1.269407 -2.073177 -0.067188 -27.420243 
rand_0898 3.219081 0.920924 1.789430 -2.365630 -0.096906 -42.581979 
rand_0899 2.680727 0.790000 3.077563 -4.354510 -0.493356 -10.806466 
rand_0900 4.855011 1.381537 1.468135 -2.123420 -0.073045 -28.003595 
rand_0901 1.822728 1.070000 4.165470 -2.809105 -0.152587 -42.798458 
rand_0902 7.146137 0.743609 6.504672 -2.418742 -0.102133 -17.740679 
rand_0903 2.557637 0.880000 4.783859 -0.913911 -0.007407 -53.785381 
rand_0904 2.551332 1.014830 0.870281 -0.837276 -0.005900 -25.237148 
rand_0905 2.802571 0.800000 2.974917 -4.324716 -0.494071 -33.943573 
rand_0906 2.253919 0.740043 1.467117 -3.450982 -0.266173 -28.941619 
rand_0907 2.051572 0.840000 2.028172 -4.033469 -0.414919 -20.109235 
rand_0908 2.535557 0.750000 3.194241 -2.256617 -0.085651 -13.340579 
rand_0909 4.192137 0.548500 1.787702 -0.579967 -0.002163 -23.292258 
rand_0910 5.917572 0.187099 0.225940 -1.595325 -0.033465 -44.977334 
rand_0911 1.883312 0.939884 2.626348 -2.738939 -0.143620 -45.212553 
rand_0912 3.591432 1.369123 2.499767 -1.030041 -0.010340 -14.255872 
rand_0913 2.667375 1.060000 0.704073 -3.281072 -0.233723 -44.430084 
rand_0914 2.062371 0.999576 0.406325 -1.160856 -0.014038 -18.488153 
rand_0915 2.138898 0.747064 0.316518 -1.486781 -0.027699 -40.874955 
rand_0916 2.803702 0.960000 3.631658 -3.482509 -0.273748 -55.992128 
rand_0917 5.844588 0.850000 6.352223 -3.003820 -0.182967 -41.882830 
rand_0918 1.800750 1.151449 5.533620 -2.900398 -0.168460 -23.258735 
rand_0919 1.830403 1.187126 1.283326 -1.551486 -0.031291 -28.721309 
rand_0920 3.710464 1.070000 6.005301 -3.722110 -0.333007 -34.846637 
rand_0921 1.796988 0.580000 6.352590 -2.404442 -0.100081 -41.042050 
rand_0922 1.331037 0.980000 0.513427 -3.069329 -0.198992 -42.877520 
rand_0923 5.380662 0.505644 1.212464 -1.508762 -0.028102 -10.151925 
rand_0924 4.714216 1.090000 1.847493 -6.764162 -1.640292 -37.601799 
rand_0925 2.634318 0.680000 1.355053 -4.691183 -0.607123 -39.597586 
rand_0926 3.431005 1.156697 2.207661 -3.108226 -0.201902 -36.815453 
rand_0927 1.881883 1.240000 0.886955 -1.804625 -0.045793 -17.634445 
rand_0928 4.654221 0.939070 3.766902 -1.710438 -0.040112 -13.154985 
rand_0929 3.039472 1.390000 6.833203 -5.952674 -1.189925 -32.756537 
rand_0930 2.841714 1.020000 1.007606 -3.113241 -0.202641 -37.947198 
rand_0931 2.780665 0.660000 5.311098 -2.000521 -0.062325 -30.489566 
rand_0932 3.934559 0.828373 0.461759 -2.931689 -0.173246 -35.212489 
rand_0933 2.951120 1.170000 0.910540 -5.558319 -0.964052 -50.032986 
rand_0934 2.756723 0.770000 2.994792 -5.954300 -1.142509 -17.751402 
rand_0935 2.235333 0.815568 0.819666 -3.477165 -0.274023 -48.825835 
rand_0936 1.371988 1.060000 1.065278 -5.345311 -0.870962 -23.801892 
rand_0937 4.400352 0.700000 2.321641 -3.938546 -0.384207 -13.302656 
rand_0938 3.797462 0.776084 3.838440 -2.136526 -0.073561 -31.693059 
rand_0939 1.820897 0.552635 0.753588 -0.425818 -0.000939 -14.696247 
rand_0940 1.332137 0.660000 5.978473 -2.417336 -0.104238 -48.025236 
rand_0941 6.773643 1.020000 6.556358 -6.492040 -1.475746 -47.793042 
rand_0942 1.459932 0.990000 0.475942 -3.694132 -0.326790 -18.085578 
rand_0943 4.590680 1.080000 0.725214 -7.358905 -2.077033 -53.965375 
rand_0944 3.488765 0.860000 8.704356 -3.139689 -0.208459 -56.296089 
rand_0945 8.319145 0.801155 1.652645 -2.229270 -0.083104 -30.698238 
rand_0946 0.632310 1.310000 2.666050 -2.885786 -0.162019 -55.701103 
rand_0947 1.677557 1.281275 3.141739 -3.673787 -0.311273 -15.245044 
rand_0948 2.778296 0.488338 3.668834 -0.770677 -0.004619 -38.010564 
rand_0949 2.570346 0.950000 1.977197 -1.298731 -0.019430 -46.846039 
rand_0950 0.827108 0.910000 28.078222 -2.676127 -0.134199 -29.767043 
rand_0951 6.607850 1.030000 2.013295 -1.335818 -0.020752 -49.647870 
rand_0952 2.432639 1.240000 1.316235 -5.697828 -1.048341 -17.615055 
rand_0953 3.352587 1.329984 1.874916 -2.415877 -0.101611 -47.838996 
rand_0954 3.841895 1.250000 4.253137 -7.677224 -2.346745 -27.435053 
rand_0955 2.962840 0.186484 0.875797 -2.304385 -0.090253 -24.918620 
rand_0956 1.873743 0.880000 2.267586 -5.824610 -1.112796 -40.413938 
rand_0957 2.983329 0.891180 2.757977 -0.104063 -0.000021 -14.130284 
rand_0958 7.276832 0.804188 4.327738 -1.599554 -0.033817 -13.431207 
rand_0959 1.986955 1.000000 12.544710 -2.242257 -0.083489 -23.827947 
rand_0960 1.542604 1.040000 12.908873 -4.622902 -0.594518 -24.977113 
rand_0961 1.893328 0.880000 1.136399 -2.373543 -0.097448 -45.154680 
rand_0962 2.360433 0.694003 2.056534 -2.892467 -0.167115 -21.309303 
rand_0963 2.768166 0.739825 0.344497 -1.866625 -0.051199 -42.651104 
rand_0964 2.834458 0.930000 0.928627 -3.715536 -0.327879 -50.811065 
rand_0965 5.110181 0.823785 1.178924 -2.697444 -0.139283 -16.283965 
rand_0966 2.235319 0.570000 2.527349 -3.324967 -0.241966 -36.724590 
rand_0967 4.549357 0.969988 1.112962 -2.389205 -0.100256 -42.902917 
rand_0968 2.638355 1.032108 1.426659 -1.467912 -0.026269 -17.644538 
rand_0969 0.782128 0.295329 1.207767 -2.036232 -0.064236 -35.035513 
rand_0970 2.116330 0.950000 3.785122 -0.554593 -0.001970 -22.865852 
rand_0971 2.737408 1.017102 6.440505 -1.543315 -0.030133 -17.177837 
rand_0972 5.674069 0.540679 2.365867 -2.360549 -0.095816 -28.157999 
rand_0973 4.300214 0.344014 2.437832 -3.396393 -0.261533 -37.440731 
rand_0974 8.280754 1.020000 0.650585 -1.987531 -0.060442 -55.449155 
rand_0975 1.312730 0.700881 2.720106 -3.633193 -0.304409 -44.311126 
rand_0976 1.600724 0.750000 7.172885 -3.006128 -0.185414 -24.816061 
rand_0977 2.101158 0.740000 4.380515 -2.449610 -0.107347 -17.981768 
rand_0978 2.437141 1.060000 1.637739 -5.614346 -1.002307 -51.726502 
rand_0979 2.426998 0.820000 2.383311 -4.549010 -0.573283 -47.487546 
rand_0980 1.342625 1.050000 1.496242 -7.524360 -2.194443 -52.401804 
rand_0981 2.911797 0.950000 3.092091 -0.531368 -0.001700 -33.001420 
rand_0982 3.345587 0.264764 3.919258 -1.066151 -0.011597 -43.204302 
rand_0983 2.536454 0.780000 0.869456 -1.359197 -0.021556 -19.374566 
rand_0984 3.269868 0.448316 2.935248 -3.391722 -0.258233 -20.496720 
rand_0985 3.840294 0.970000 0.222840 -6.301328 -1.354655 -55.972684 
rand_0986 1.394283 0.583721 1.167092 -0.170356 -0.000079 -19.707742 
rand_0987 3.862747 0.840000 1.806394 -2.607224 -0.127147 -10.784829 
rand_0988 1.282703 1.090000 6.103657 -4.349486 -0.498307 -36.287618 
rand_0989 0.862668 0.966565 3.951794 -1.166690 -0.014398 -39.760656 
rand_0990 2.091507 0.940000 4.722245 -7.077082 -1.853548 -43.136292 
rand_0991 4.798907 1.000000 6.935070 -2.352667 -0.093475 -42.885442 
rand_0992 2.938002 1.080000 0.955974 -7.009100 -1.809228 -31.422992 
rand_0993 1.503158 0.294121 0.338306 -3.223707 -0.224912 -49.606509 
rand_0994 3.555735 0.930000 5.448747 -7.389428 -2.063541 -52.061228 
rand_0995 2.361921 0.806505 1.548584 -0.790052 -0.005044 -13.666776 
rand_0996 2.468789 1.165913 1.496071 -1.861296 -0.050899 -18.142569 
rand_0997 3.906268 0.840000 2.129672 -6.724389 -1.660644 -13.697052 
rand_0998 1.080567 1.140000 0.263650 -4.586371 -0.573645 -19.850583 
rand_0999 3.077855 0.640000 1.167940 -1.715624 -0.040707 -53.178164 
rand_1000 3.495491 1.096200 2.175070 -3.554251 -0.289907 -29.044283 
rand_1001 3.599283 1.213943 0.364645 -3.152835 -0.212424 -44.851691 
rand_1002 2.941235 0.816240 1.855514 -2.004538 -0.061901 -21.782865 
rand_1003 3.208407 0.810000 2.500925 -2.466850 -0.107804 -39.336985 
rand_1004 1.709306 0.780000 1.076758 -7.844531 -2.469589 -49.735091 
rand_1005 2.571406 0.700000 2.071941 -0.397204 -0.000788 -52.403043 
rand_1006 2.147047 1.040000 11.487930 -6.124382 -1.261788 -16.736914 
rand_1007 3.759004 1.188240 3.314786 -1.390662 -0.022870 -37.483010 
rand_1008 2.709516 1.105246 2.556374 -2.477630 -0.109391 -48.402962 
rand_1009 2.036856 1.030000 0.397106 -3.397556 -0.261425 -13.110279 
rand_1010 2.302002 1.029541 1.697938 -1.551664 -0.031775 -30.312924 
rand_1011 1.784698 1.018633 4.280079 -0.576389 -0.002131 -26.382083 
rand_1012 5.028358 0.280000 8.046992 -6.171896 -1.298603 -29.209184 
rand_1013 3.220764 1.160000 1.208580 -2.056338 -0.066883 -16.088674 
rand_1014 2.614661 0.940000 1.486149 -5.302354 -0.849068 -40.368637 
rand_1015 2.332327 0.759529 1.694517 -0.605372 -0.002452 -33.589920 
rand_1016 3.373590 0.976452 2.952558 -1.657723 -0.037247 -47.748509 
rand_1017 2.131379 0.580000 0.712239 -7.640944 -2.315208 -15.571688 
rand_1018 2.287802 0.210436 1.099684 -2.537075 -0.116365 -20.320949 
rand_1019 1.636458 0.930000 6.940445 -5.382162 -0.887426 -38.763735 
rand_1020 1.027322 1.060000 1.497826 -2.261404 -0.086047 -22.080048 
rand_1021 3.795102 0.222933 5.576304 -1.864690 -0.050307 -15.628008 
rand_1022 2.092094 0.119261 6.117135 -2.406216 -0.101854 -11.926522 
rand_1023 2.805734 1.261965 1.661979 -1.986712 -0.060326 -18.901273 
rand_1024 2.963607 0.393723 2.805014 -2.020407 -0.063396 -16.350053 
